City,Country,Temperature (°C),Feels Like (°C),Humidity (%),Pressure (hPa),Wind Speed (m/s),Weather,Timestamp
London,GB,9.16,8.16,76,995,2.06,scattered clouds,2026-01-28 20:07:59
Pakistan,PK,5.49,4.41,53,1021,1.58,broken clouds,2026-01-28 20:15:38
Qarshi,UZ,0.1,-3.37,56,1031,2.99,clear sky,2026-01-28 20:18:17
Qarshi,UZ,0.1,-3.37,56,1031,2.99,clear sky,2026-01-28 20:18:17
Qarshi,UZ,0.1,-3.37,56,1031,2.99,clear sky,2026-01-28 20:18:17
Qarshi,UZ,0.1,-3.37,56,1031,2.99,clear sky,2026-01-28 20:18:17
Qarshi,UZ,0.1,-3.37,56,1031,2.99,clear sky,2026-01-28 20:16:25
Karachi,PK,17.9,16.92,45,1020,1.54,clear sky,2026-01-28 20:08:01
Karachi,PK,17.9,16.92,45,1020,1.54,clear sky,2026-01-28 20:08:01
Quetta,PK,2.55,1.23,64,1024,1.45,broken clouds,2026-01-28 20:20:32
Quetta,PK,2.55,1.23,64,1024,1.45,broken clouds,2026-01-28 20:20:32
Antarctica,,-29.88,-36.53,98,997,1.73,few clouds,2026-01-28 20:53:42
Mardan,PK,9.75,9.75,62,1023,1.21,clear sky,2026-01-28 20:57:56
Islamabad,PK,10.47,9.64,79,1022,1.76,clear sky,2026-01-28 20:59:59
Balochistan,PK,6.95,6.24,37,1022,1.44,overcast clouds,2026-01-28 21:01:48
London,GB,9.16,8.16,76,995,2.06,scattered clouds,2026-01-28 20:07:59
London,GB,9.16,8.16,76,995,2.06,scattered clouds,2026-01-28 20:07:59
Karachi,PK,17.9,16.92,45,1020,1.54,clear sky,2026-01-28 20:08:01
Karachi,PK,17.9,16.92,45,1020,1.54,clear sky,2026-01-28 20:08:01
Karachi,PK,17.9,16.92,45,1020,1.54,clear sky,2026-01-28 20:08:01
London,GB,9.16,8.16,76,995,2.06,scattered clouds,2026-01-28 20:07:59
Karachi,PK,17.9,16.92,45,1020,1.54,clear sky,2026-01-28 20:08:01
Karachi,PK,17.9,16.92,45,1020,1.54,clear sky,2026-01-28 20:08:01
Karachi,PK,17.9,16.92,45,1020,1.54,clear sky,2026-01-28 20:08:01
Karachi,PK,17.9,16.92,45,1020,1.54,clear sky,2026-01-28 20:08:01
Karachi,PK,17.9,16.92,45,1020,1.54,clear sky,2026-01-28 20:08:01
Karachi,PK,17.9,16.92,45,1020,1.54,clear sky,2026-01-28 20:08:01
Mardan,PK,9.75,9.75,62,1023,1.21,clear sky,2026-01-28 20:57:56
Mardan,PK,9.75,9.75,62,1023,1.21,clear sky,2026-01-28 20:57:56
Mardan,PK,9.75,9.75,62,1023,1.21,clear sky,2026-01-28 20:57:56
Paris,FR,6.76,5.36,88,996,2.06,clear sky,2026-01-28 22:07:59
Thailand,TH,23.37,22.91,44,1014,1.6,scattered clouds,2026-01-28 22:12:15
Innichen,IT,-1,-3.7,96,989,2.06,snow,2026-01-28 22:14:17
Pakistan,PK,5.49,4.41,53,1021,1.58,broken clouds,2026-01-28 20:15:38
